,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR1307,6660,16652,12114,3035,3453,11987,7048,2600,1816,1347,1398,3631,11219,16448,26471,17330,24300,12766,14296,21913,23448,8253,9256,13036,6386,3731,3021,2521,9758,12660,5810,21699,14363,5671,8250,22571,1345,1159,1754,703,41292,32561,9106,12493,3588,8932,6642,64211,43295,8472,74510,41871,13773,10847,3208,6894,8200,14019,3817,3865,2771,4262,6982,9990,3458,10217
MIR130B,6378,62896,34279,4395,4122,13447,5963,3058,2940,2302,2266,4022,4120,5042,9549,13424,13880,6550,61625,293707,459784,3076,2998,1569,1094,1160,8762,5028,2308,1258,991,47959,26962,2082,3579,2564,1945,2353,2668,1189,11561,6974,8629,13553,1695,4059,2343,16954,11221,9554,42135,21496,5723,5338,2235,4221,29573,51251,12696,10253,2696,14219,2985,3655,8669,17981
MIR3911,1,2,1,1,1,2,1,0,1,0,0,0,4,6,9,0,1,0,5,1,5,10,6,16,4,2,0,0,9,2,7,5,2,2,6,3,1,0,0,0,16,19,2,5,2,2,1,10,9,2,32,22,3,1,0,7,6,0,1,0,0,4,4,4,0,3
MIR4260,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR7704,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
MIR3916,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
MIR3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1469,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
MIR628,124,377,321,36,41,127,65,23,28,21,13,45,88,98,201,271,658,432,1041,2320,1584,315,217,200,96,106,40,53,53,47,25,552,385,110,154,167,55,42,78,27,498,296,342,466,267,159,198,928,599,429,1702,682,177,170,281,639,422,757,122,83,118,409,88,103,123,354
MIR1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
